State,Fund,Company Name,Deployment Year,Locations Obligation through Deployment Year,Locations Deployed through Deployment Year,Total Support Disbursed through Deployment Year
IA,ACAM,WOOLSTOCK MUTUAL,2018,,146,391695.6
IA,ACAM,WOOLSTOCK MUTUAL,2019,,146,631767.84
IA,ACAM,WOOLSTOCK MUTUAL,2020,42,146,871840.08
IA,ACAM,WYOMING MUTUAL TEL,2017,,173,359438.16
IA,ACAM,WYOMING MUTUAL TEL,2018,,173,749132.4
IA,ACAM,WYOMING MUTUAL TEL,2019,,173,1183657.44
IA,ACAM,WYOMING MUTUAL TEL,2020,81,173,1618182.48
IA,ACAM II,"ALLIANCE COMMUNICATIONS COOPERATIVE, INC.",2016,,16,0
IA,ACAM II,"ALLIANCE COMMUNICATIONS COOPERATIVE, INC.",2017,,25,0
IA,ACAM II,"ALLIANCE COMMUNICATIONS COOPERATIVE, INC.",2018,,41,0
IA,ACAM II,"ALLIANCE COMMUNICATIONS COOPERATIVE, INC.",2019,,48,1049734.32
IA,ACAM II,"ALLIANCE COMMUNICATIONS COOPERATIVE, INC.",2020,,61,2433260.64
IA,ACAM II,ATKINS TELEPHONE COMPANY,2010,,28,0
IA,ACAM II,ATKINS TELEPHONE COMPANY,2011,,28,0
IA,ACAM II,ATKINS TELEPHONE COMPANY,2012,,28,0
IA,ACAM II,ATKINS TELEPHONE COMPANY,2013,,28,0
IA,ACAM II,ATKINS TELEPHONE COMPANY,2014,,28,0
IA,ACAM II,ATKINS TELEPHONE COMPANY,2015,,28,0
IA,ACAM II,ATKINS TELEPHONE COMPANY,2016,,28,0
IA,ACAM II,ATKINS TELEPHONE COMPANY,2017,,28,0
IA,ACAM II,ATKINS TELEPHONE COMPANY,2018,,34,0
IA,ACAM II,ATKINS TELEPHONE COMPANY,2019,,67,154605
IA,ACAM II,ATKINS TELEPHONE COMPANY,2020,,90,426132
IA,ACAM II,BALDWIN-NASHVILLE,2008,,46,0
IA,ACAM II,BALDWIN-NASHVILLE,2009,,180,0
IA,ACAM II,BALDWIN-NASHVILLE,2010,,257,0
IA,ACAM II,BALDWIN-NASHVILLE,2012,,379,0
IA,ACAM II,BALDWIN-NASHVILLE,2013,,397,0
IA,ACAM II,BALDWIN-NASHVILLE,2014,,397,0
IA,ACAM II,BALDWIN-NASHVILLE,2015,,397,0
IA,ACAM II,BALDWIN-NASHVILLE,2016,,398,0
IA,ACAM II,BALDWIN-NASHVILLE,2017,,399,0
IA,ACAM II,BALDWIN-NASHVILLE,2018,,400,0
IA,ACAM II,BALDWIN-NASHVILLE,2019,,400,439839.96
IA,ACAM II,BALDWIN-NASHVILLE,2020,,400,948007.92
IA,ACAM II,BERNARD TEL CO INC,2014,,835,0
IA,ACAM II,BERNARD TEL CO INC,2015,,835,0
IA,ACAM II,BERNARD TEL CO INC,2016,,835,0
IA,ACAM II,BERNARD TEL CO INC,2017,,835,0
IA,ACAM II,BERNARD TEL CO INC,2018,,835,0
IA,ACAM II,BERNARD TEL CO INC,2019,,835,496206.84
IA,ACAM II,BERNARD TEL CO INC,2020,,835,1417723.68
IA,ACAM II,BREDA TELEPHONE CORP,2017,,9,0
IA,ACAM II,BREDA TELEPHONE CORP,2018,,9,0
IA,ACAM II,BREDA TELEPHONE CORP,2019,,9,175138.08
IA,ACAM II,BREDA TELEPHONE CORP,2020,,9,415676.16
IA,ACAM II,BROOKLYN MUTUAL TELECOMMUNICATIONS COOPERATIVE,2019,,39,429068.88
IA,ACAM II,BROOKLYN MUTUAL TELECOMMUNICATIONS COOPERATIVE,2020,,70,986213.76
IA,ACAM II,CITIZENS MUTUAL TELEPHONE COOPERATIVE,2012,,92,0
IA,ACAM II,CITIZENS MUTUAL TELEPHONE COOPERATIVE,2013,,92,0
IA,ACAM II,CITIZENS MUTUAL TELEPHONE COOPERATIVE,2014,,150,0
IA,ACAM II,CITIZENS MUTUAL TELEPHONE COOPERATIVE,2015,,150,0
IA,ACAM II,CITIZENS MUTUAL TELEPHONE COOPERATIVE,2016,,150,0
IA,ACAM II,CITIZENS MUTUAL TELEPHONE COOPERATIVE,2017,,150,0
IA,ACAM II,CITIZENS MUTUAL TELEPHONE COOPERATIVE,2018,,2090,0
IA,ACAM II,CITIZENS MUTUAL TELEPHONE COOPERATIVE,2019,,2111,1700941.8
IA,ACAM II,CITIZENS MUTUAL TELEPHONE COOPERATIVE,2020,,2111,4052547.6
IA,ACAM II,CLARENCE TEL CO,2015,,302,0
IA,ACAM II,CLARENCE TEL CO,2016,,302,0
IA,ACAM II,CLARENCE TEL CO,2017,,302,0
IA,ACAM II,CLARENCE TEL CO,2018,,302,0
IA,ACAM II,CLARENCE TEL CO,2019,,302,518554.08
IA,ACAM II,CLARENCE TEL CO,2020,,302,1137614.16
IA,ACAM II,C-M-L TELEPHONE COOPERATIVE ASSOCIATION,2019,,5,697160.04
IA,ACAM II,C-M-L TELEPHONE COOPERATIVE ASSOCIATION,2020,,5,1585765.08
IA,ACAM II,"COMMUNICATIONS 1 NETWORK, INC.",2008,,975,0
IA,ACAM II,"COMMUNICATIONS 1 NETWORK, INC.",2009,,975,0
IA,ACAM II,"COMMUNICATIONS 1 NETWORK, INC.",2010,,975,0
IA,ACAM II,"COMMUNICATIONS 1 NETWORK, INC.",2011,,975,0
IA,ACAM II,"COMMUNICATIONS 1 NETWORK, INC.",2012,,975,0
IA,ACAM II,"COMMUNICATIONS 1 NETWORK, INC.",2013,,975,0
IA,ACAM II,"COMMUNICATIONS 1 NETWORK, INC.",2014,,975,0
IA,ACAM II,"COMMUNICATIONS 1 NETWORK, INC.",2015,,975,0
IA,ACAM II,"COMMUNICATIONS 1 NETWORK, INC.",2016,,975,0
IA,ACAM II,"COMMUNICATIONS 1 NETWORK, INC.",2017,,975,0
IA,ACAM II,"COMMUNICATIONS 1 NETWORK, INC.",2018,,975,0
IA,ACAM II,"COMMUNICATIONS 1 NETWORK, INC.",2019,,977,1040397.96
IA,ACAM II,"COMMUNICATIONS 1 NETWORK, INC.",2020,,977,2319883.92
IA,ACAM II,COOP TEL EXCHANGE,2018,,501,0
IA,ACAM II,COOP TEL EXCHANGE,2019,,501,555644.64
IA,ACAM II,COOP TEL EXCHANGE,2020,,504,1260737.28
IA,ACAM II,CORN BELT TELEPHONE COMPANY,2010,,1,0
IA,ACAM II,CORN BELT TELEPHONE COMPANY,2011,,6,0
IA,ACAM II,CORN BELT TELEPHONE COMPANY,2012,,12,0
IA,ACAM II,CORN BELT TELEPHONE COMPANY,2013,,39,0
IA,ACAM II,CORN BELT TELEPHONE COMPANY,2014,,239,0
IA,ACAM II,CORN BELT TELEPHONE COMPANY,2015,,243,0
IA,ACAM II,CORN BELT TELEPHONE COMPANY,2016,,243,0
IA,ACAM II,CORN BELT TELEPHONE COMPANY,2017,,245,0
IA,ACAM II,CORN BELT TELEPHONE COMPANY,2018,,249,0
IA,ACAM II,CORN BELT TELEPHONE COMPANY,2019,,249,294154.44
IA,ACAM II,CORN BELT TELEPHONE COMPANY,2020,,249,678515.88
IA,ACAM II,"F&B COMMUNICATIONS, INC.",2018,,673,0
IA,ACAM II,"F&B COMMUNICATIONS, INC.",2019,,675,681841.68
IA,ACAM II,"F&B COMMUNICATIONS, INC.",2020,,680,1684605.36
IA,ACAM II,"FARMERS MUTUAL COOPERATIVE TELEPHONE COMPANY OF MOULTON, IOWA",2010,,342,0
IA,ACAM II,"FARMERS MUTUAL COOPERATIVE TELEPHONE COMPANY OF MOULTON, IOWA",2011,,342,0
IA,ACAM II,"FARMERS MUTUAL COOPERATIVE TELEPHONE COMPANY OF MOULTON, IOWA",2012,,342,0
IA,ACAM II,"FARMERS MUTUAL COOPERATIVE TELEPHONE COMPANY OF MOULTON, IOWA",2013,,342,0
IA,ACAM II,"FARMERS MUTUAL COOPERATIVE TELEPHONE COMPANY OF MOULTON, IOWA",2014,,342,0
IA,ACAM II,"FARMERS MUTUAL COOPERATIVE TELEPHONE COMPANY OF MOULTON, IOWA",2015,,342,0
IA,ACAM II,"FARMERS MUTUAL COOPERATIVE TELEPHONE COMPANY OF MOULTON, IOWA",2016,,342,0
IA,ACAM II,"FARMERS MUTUAL COOPERATIVE TELEPHONE COMPANY OF MOULTON, IOWA",2017,,342,0
IA,ACAM II,"FARMERS MUTUAL COOPERATIVE TELEPHONE COMPANY OF MOULTON, IOWA",2018,,342,0
IA,ACAM II,"FARMERS MUTUAL COOPERATIVE TELEPHONE COMPANY OF MOULTON, IOWA",2019,,342,458416.44
IA,ACAM II,"FARMERS MUTUAL COOPERATIVE TELEPHONE COMPANY OF MOULTON, IOWA",2020,,347,1025006.88
IA,ACAM II,GRAND MOUND COOPERATIVE TELEPHONE ASSOCIATION,2018,,300,0
IA,ACAM II,GRAND MOUND COOPERATIVE TELEPHONE ASSOCIATION,2019,,300,278180.64
IA,ACAM II,GRAND MOUND COOPERATIVE TELEPHONE ASSOCIATION,2020,,300,659417.28
IA,ACAM II,GRAND RIVER MUTUAL TELEPHONE CORPORATION,2011,,364,0
IA,ACAM II,GRAND RIVER MUTUAL TELEPHONE CORPORATION,2012,,675,0
IA,ACAM II,GRAND RIVER MUTUAL TELEPHONE CORPORATION,2013,,1938,0
IA,ACAM II,GRAND RIVER MUTUAL TELEPHONE CORPORATION,2014,,2234,0
IA,ACAM II,GRAND RIVER MUTUAL TELEPHONE CORPORATION,2015,,2411,0
IA,ACAM II,GRAND RIVER MUTUAL TELEPHONE CORPORATION,2016,,2884,0
IA,ACAM II,GRAND RIVER MUTUAL TELEPHONE CORPORATION,2017,,2884,0
IA,ACAM II,GRAND RIVER MUTUAL TELEPHONE CORPORATION,2018,,2885,0
IA,ACAM II,GRAND RIVER MUTUAL TELEPHONE CORPORATION,2019,,3258,4110495.96
IA,ACAM II,GRAND RIVER MUTUAL TELEPHONE CORPORATION,2020,,3394,9947899.92
IA,ACAM II,HAWKEYE TELEPHONE COMPANY,2020,,245,524856.72
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2005,,70,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2006,,181,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2007,,807,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2008,,807,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2009,,1028,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2010,,1028,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2011,,1028,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2012,,1028,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2013,,1049,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2014,,1070,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2015,,1221,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2016,,1281,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2017,,1509,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2018,,1509,0
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2019,,1514,1685918.76
IA,ACAM II,HEART OF IOWA COMMUNICATIONS COOPERATIVE,2020,,1521,4498115.52
IA,ACAM II,HUBBARD COOPERATIVE TELEPHONE ASSOCIATION,2017,,287,0
IA,ACAM II,HUBBARD COOPERATIVE TELEPHONE ASSOCIATION,2018,,287,0
IA,ACAM II,HUBBARD COOPERATIVE TELEPHONE ASSOCIATION,2019,,287,320540.76
IA,ACAM II,HUBBARD COOPERATIVE TELEPHONE ASSOCIATION,2020,,287,935855.52
IA,ACAM II,KILLDUFF TEL. CO.,2016,,9,0
IA,ACAM II,KILLDUFF TEL. CO.,2017,,11,0
IA,ACAM II,KILLDUFF TEL. CO.,2018,,11,0
IA,ACAM II,KILLDUFF TEL. CO.,2019,,11,41938.8
IA,ACAM II,KILLDUFF TEL. CO.,2020,,11,130736.4
IA,ACAM II,LOST NATION-ELWOOD TELEPHONE COMPANY,2008,,637,0
IA,ACAM II,LOST NATION-ELWOOD TELEPHONE COMPANY,2009,,637,0
IA,ACAM II,LOST NATION-ELWOOD TELEPHONE COMPANY,2010,,637,0
IA,ACAM II,LOST NATION-ELWOOD TELEPHONE COMPANY,2011,,637,0
IA,ACAM II,LOST NATION-ELWOOD TELEPHONE COMPANY,2012,,637,0
IA,ACAM II,LOST NATION-ELWOOD TELEPHONE COMPANY,2013,,637,0
IA,ACAM II,LOST NATION-ELWOOD TELEPHONE COMPANY,2014,,637,0
IA,ACAM II,LOST NATION-ELWOOD TELEPHONE COMPANY,2015,,637,0
IA,ACAM II,LOST NATION-ELWOOD TELEPHONE COMPANY,2016,,637,0
IA,ACAM II,LOST NATION-ELWOOD TELEPHONE COMPANY,2017,,637,0
IA,ACAM II,LOST NATION-ELWOOD TELEPHONE COMPANY,2018,,637,0
IA,ACAM II,LOST NATION-ELWOOD TELEPHONE COMPANY,2019,,637,679566.96
IA,ACAM II,LOST NATION-ELWOOD TELEPHONE COMPANY,2020,,637,1637881.92
IA,ACAM II,LYNNVILLE TEL. CO.,2017,,37,0
IA,ACAM II,LYNNVILLE TEL. CO.,2018,,61,0
IA,ACAM II,LYNNVILLE TEL. CO.,2019,,78,130705.8
IA,ACAM II,LYNNVILLE TEL. CO.,2020,,115,370527.6
IA,ACAM II,MARNE & ELK HORN TELEPHONE COMPANY,2014,,194,0
IA,ACAM II,MARNE & ELK HORN TELEPHONE COMPANY,2015,,636,0
IA,ACAM II,MARNE & ELK HORN TELEPHONE COMPANY,2016,,791,0
IA,ACAM II,MARNE & ELK HORN TELEPHONE COMPANY,2017,,932,0
IA,ACAM II,MARNE & ELK HORN TELEPHONE COMPANY,2018,,1017,0
IA,ACAM II,MARNE & ELK HORN TELEPHONE COMPANY,2019,,1022,899576.52
IA,ACAM II,MARNE & ELK HORN TELEPHONE COMPANY,2020,,1022,2607701.04
IA,ACAM II,MILES COOPERATIVE TELEPHONE ASSOC.,2016,,494,0
IA,ACAM II,MILES COOPERATIVE TELEPHONE ASSOC.,2017,,494,0
IA,ACAM II,MILES COOPERATIVE TELEPHONE ASSOC.,2018,,507,0
IA,ACAM II,MILES COOPERATIVE TELEPHONE ASSOC.,2019,,511,717930.24
IA,ACAM II,MILES COOPERATIVE TELEPHONE ASSOC.,2020,,516,1605201.48
IA,ACAM II,"MINERVA VALLEY TELEPHONE COMPANY, INC.",2020,,393,845697.72
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2006,,357,0
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2007,,357,0
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2008,,357,0
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2009,,357,0
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2010,,357,0
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2011,,1366,0
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2012,,1366,0
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2013,,1796,0
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2014,,1796,0
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2015,,1796,0
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2016,,3028,0
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2017,,3054,0
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2018,,3080,0
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2019,,3109,2351754.9
IA,ACAM II,MUTUAL TELEPHONE COMPANY (IA),2020,,3120,6561177.9
IA,ACAM II,PALMER MUTUAL TELEPHONE COMPANY,2016,,48,0
IA,ACAM II,PALMER MUTUAL TELEPHONE COMPANY,2017,,89,0
IA,ACAM II,PALMER MUTUAL TELEPHONE COMPANY,2018,,90,0
IA,ACAM II,PALMER MUTUAL TELEPHONE COMPANY,2019,,216,396711.24
IA,ACAM II,PALMER MUTUAL TELEPHONE COMPANY,2020,,238,852690.48
IA,ACAM II,RADCLIFFE TELEPHONE COMPANY,2008,,402,0
IA,ACAM II,RADCLIFFE TELEPHONE COMPANY,2009,,402,0
IA,ACAM II,RADCLIFFE TELEPHONE COMPANY,2010,,402,0
IA,ACAM II,RADCLIFFE TELEPHONE COMPANY,2011,,402,0
IA,ACAM II,RADCLIFFE TELEPHONE COMPANY,2012,,402,0
IA,ACAM II,RADCLIFFE TELEPHONE COMPANY,2013,,402,0
IA,ACAM II,RADCLIFFE TELEPHONE COMPANY,2014,,402,0
IA,ACAM II,RADCLIFFE TELEPHONE COMPANY,2015,,402,0
IA,ACAM II,RADCLIFFE TELEPHONE COMPANY,2016,,403,0
IA,ACAM II,RADCLIFFE TELEPHONE COMPANY,2017,,403,0
IA,ACAM II,RADCLIFFE TELEPHONE COMPANY,2018,,404,0
IA,ACAM II,RADCLIFFE TELEPHONE COMPANY,2019,,405,204932.28
IA,ACAM II,RADCLIFFE TELEPHONE COMPANY,2020,,405,558364.56
IA,ACAM II,READLYN TELEPHONE COMPANY,2016,,453,0
IA,ACAM II,READLYN TELEPHONE COMPANY,2017,,453,0
IA,ACAM II,READLYN TELEPHONE COMPANY,2018,,453,0
IA,ACAM II,READLYN TELEPHONE COMPANY,2019,,453,302801.04
IA,ACAM II,READLYN TELEPHONE COMPANY,2020,,453,709438.08
IA,ACAM II,RIVER VALLEY TELECOMMUNICATIONS COOP,2015,,287,0
IA,ACAM II,RIVER VALLEY TELECOMMUNICATIONS COOP,2016,,287,0
IA,ACAM II,RIVER VALLEY TELECOMMUNICATIONS COOP,2017,,287,0
IA,ACAM II,RIVER VALLEY TELECOMMUNICATIONS COOP,2018,,490,0
IA,ACAM II,RIVER VALLEY TELECOMMUNICATIONS COOP,2019,,490,794465.04
IA,ACAM II,RIVER VALLEY TELECOMMUNICATIONS COOP,2020,,501,1915516.08
IA,ACAM II,SEARSBORO TEL CO,2017,,12,0
IA,ACAM II,SEARSBORO TEL CO,2018,,28,0
IA,ACAM II,SEARSBORO TEL CO,2019,,61,108418.92
IA,ACAM II,SEARSBORO TEL CO,2020,,84,270063.84
IA,ACAM II,SULLY TEL ASSOC,2016,,3,0
IA,ACAM II,SULLY TEL ASSOC,2017,,5,0
IA,ACAM II,SULLY TEL ASSOC,2018,,44,0
IA,ACAM II,SULLY TEL ASSOC,2019,,59,255951.96
IA,ACAM II,SULLY TEL ASSOC,2020,,190,617893.92
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2005,,445,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2006,,790,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2007,,1128,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2008,,1638,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2009,,2058,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2010,,2505,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2011,,2505,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2012,,2505,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2013,,2505,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2014,,2505,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2015,,2505,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2016,,2505,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2017,,2505,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2018,,2505,0
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2019,,2515,2294119.2
IA,ACAM II,WEBSTER-CALHOUN COOPERATIVE TELEPHONE ASSOCIATION,2020,,2515,5589296.4
IA,ACAM II,WEST IOWA TELEPHONE COMPANY,2011,,57,0
IA,ACAM II,WEST IOWA TELEPHONE COMPANY,2012,,91,0
IA,ACAM II,WEST IOWA TELEPHONE COMPANY,2013,,177,0
IA,ACAM II,WEST IOWA TELEPHONE COMPANY,2014,,268,0
IA,ACAM II,WEST IOWA TELEPHONE COMPANY,2015,,320,0
IA,ACAM II,WEST IOWA TELEPHONE COMPANY,2016,,365,0
IA,ACAM II,WEST IOWA TELEPHONE COMPANY,2017,,451,0
IA,ACAM II,WEST IOWA TELEPHONE COMPANY,2018,,760,0
IA,ACAM II,WEST IOWA TELEPHONE COMPANY,2019,,1205,1860737.52
IA,ACAM II,WEST IOWA TELEPHONE COMPANY,2020,,1710,4449044.04
IA,ACAM II,WINNEBAGO COOPERATIVE TELECOM ASSOCIATION,2016,,2730,0
IA,ACAM II,WINNEBAGO COOPERATIVE TELECOM ASSOCIATION,2017,,2736,0
IA,ACAM II,WINNEBAGO COOPERATIVE TELECOM ASSOCIATION,2018,,2736,0
IA,ACAM II,WINNEBAGO COOPERATIVE TELECOM ASSOCIATION,2019,,2743,2584596.12
IA,ACAM II,WINNEBAGO COOPERATIVE TELECOM ASSOCIATION,2020,,2845,6416676.24
IA,CAF II,"CENTURYLINK, INC.",2015,,229,17369509
IA,CAF II,"CENTURYLINK, INC.",2016,,643,35263393
IA,CAF II,"CENTURYLINK, INC.",2017,13931,1588,53157277
IA,CAF II,"CENTURYLINK, INC.",2018,20897,3661,71051161
IA,CAF II,"CENTURYLINK, INC.",2019,27862,9163,88945045
IA,CAF II,"CENTURYLINK, INC.",2020,34827,31074,106838929
IA,CAF II,FRONTIER COMMUNICATIONS CORPORATION,2015,,451,3840165
IA,CAF II,FRONTIER COMMUNICATIONS CORPORATION,2016,,1037,8080749
IA,CAF II,FRONTIER COMMUNICATIONS CORPORATION,2017,2176,2145,12321333
IA,CAF II,FRONTIER COMMUNICATIONS CORPORATION,2018,3263,3132,16561917
IA,CAF II,FRONTIER COMMUNICATIONS CORPORATION,2019,4351,4092,20802501
IA,CAF II,FRONTIER COMMUNICATIONS CORPORATION,2020,5438,4805,25043085
IA,CAF II,MUTUAL TELEPHONE COMPANY (IA),2016,,1,2965643
IA,CAF II,MUTUAL TELEPHONE COMPANY (IA),2017,1107,1637,5149679
IA,CAF II,MUTUAL TELEPHONE COMPANY (IA),2018,1661,2143,7333715
IA,CAF II,MUTUAL TELEPHONE COMPANY (IA),2019,2214,2312,9517751
IA,CAF II,MUTUAL TELEPHONE COMPANY (IA),2020,2767,3186,11701787
IA,CAF II,"WINDSTREAM HOLDINGS, INC.",2019,35944,38561,28672560
IA,CAF II,"WINDSTREAM HOLDINGS, INC.",2020,44930,46848,57345120
IA,CAF II,WINNEBAGO COOPERATIVE TELECOM ASSOCIATION,2016,,1,52293
IA,CAF II,WINNEBAGO COOPERATIVE TELECOM ASSOCIATION,2017,101,281,261465
IA,CAF II,WINNEBAGO COOPERATIVE TELECOM ASSOCIATION,2018,152,281,470637
IA,CAF II,WINNEBAGO COOPERATIVE TELECOM ASSOCIATION,2019,202,281,679809
IA,CAF II,WINNEBAGO COOPERATIVE TELECOM ASSOCIATION,2020,252,282,888981
IA,CAF II Auc,CASEY MUTUAL TELEPHONE COMPANY,2019,,23,10205.15
IA,CAF II Auc,CASEY MUTUAL TELEPHONE COMPANY,2020,,49,34697.51
IA,CAF II Auc,LTD BROADBAND LLC,2020,,24,6951.6
IA,CAF II Auc,MAQUOKETA VALLEY RURAL ELECTRIC COOPERATIVE,2020,,763,226203.84
IA,CAF II Auc,MUTUAL TELEPHONE COMPANY (IA),2019,,2,41861.28
IA,CAF II Auc,MUTUAL TELEPHONE COMPANY (IA),2020,,40,104653.2
IA,CAF II Auc,WINNEBAGO COOPERATIVE TELECOM ASSOCIATION,2020,,86,17995.68
IA,CAF-BLS,"ALPINE COMMUNICATIONS, LLC",2016,,5,0
IA,CAF-BLS,"ALPINE COMMUNICATIONS, LLC",2017,,640,727194
IA,CAF-BLS,"ALPINE COMMUNICATIONS, LLC",2018,,928,1626090
IA,CAF-BLS,"ALPINE COMMUNICATIONS, LLC",2019,,1161,2770848
IA,CAF-BLS,"ALPINE COMMUNICATIONS, LLC",2020,,1533,3815142
IA,CAF-BLS,CASCADE COMM. CO.,2017,,321,416940
IA,CAF-BLS,CASCADE COMM. CO.,2018,,340,1077354
IA,CAF-BLS,CASCADE COMM. CO.,2019,,340,2068266
IA,CAF-BLS,CASCADE COMM. CO.,2020,,348,2951688
IA,CAF-BLS,CLEAR LAKE INDEPENDENT TELEPHONE COMPANY,2016,,4,0
IA,CAF-BLS,CLEAR LAKE INDEPENDENT TELEPHONE COMPANY,2017,,5,1582308
IA,CAF-BLS,CLEAR LAKE INDEPENDENT TELEPHONE COMPANY,2018,,16,3793134
IA,CAF-BLS,CLEAR LAKE INDEPENDENT TELEPHONE COMPANY,2019,,27,6513222
IA,CAF-BLS,CLEAR LAKE INDEPENDENT TELEPHONE COMPANY,2020,,65,8793186
IA,CAF-BLS,COLO TELEPHONE COMPANY,2016,,1,0
IA,CAF-BLS,COLO TELEPHONE COMPANY,2017,,3,234642
IA,CAF-BLS,COLO TELEPHONE COMPANY,2018,,3,467874
IA,CAF-BLS,COLO TELEPHONE COMPANY,2019,,4,753030
IA,CAF-BLS,COLO TELEPHONE COMPANY,2020,,4,1062552
IA,CAF-BLS,DUMONT TELEPHONE COMPANY,2019,,1,473982
IA,CAF-BLS,DUMONT TELEPHONE COMPANY,2020,,4,874584
IA,CAF-BLS,DUNKERTON TELEPHONE COOPERATIVE,2016,,471,0
IA,CAF-BLS,DUNKERTON TELEPHONE COOPERATIVE,2017,,656,129888
IA,CAF-BLS,DUNKERTON TELEPHONE COOPERATIVE,2018,,702,278088
IA,CAF-BLS,DUNKERTON TELEPHONE COOPERATIVE,2019,,702,493728
IA,CAF-BLS,DUNKERTON TELEPHONE COOPERATIVE,2020,,798,763740
IA,CAF-BLS,FARMERS & MERCHANTS MUTUAL TELEPHONE COMPANY,2019,,6,182838
IA,CAF-BLS,FARMERS & MERCHANTS MUTUAL TELEPHONE COMPANY,2020,,9,403164
IA,CAF-BLS,FARMERS COOPERATIVE TELEPHONE COMPANY-DYSART,2017,,161,211638
IA,CAF-BLS,FARMERS COOPERATIVE TELEPHONE COMPANY-DYSART,2018,,162,458514
IA,CAF-BLS,FARMERS COOPERATIVE TELEPHONE COMPANY-DYSART,2019,,167,809736
IA,CAF-BLS,FARMERS COOPERATIVE TELEPHONE COMPANY-DYSART,2020,,286,1276446
IA,CAF-BLS,"FARMERS MUTUAL TELEPHONE COMPANY OF STANTON, IOWA",2016,,538,0
IA,CAF-BLS,"FARMERS MUTUAL TELEPHONE COMPANY OF STANTON, IOWA",2017,,543,1223700
IA,CAF-BLS,"FARMERS MUTUAL TELEPHONE COMPANY OF STANTON, IOWA",2018,,550,2844678
IA,CAF-BLS,"FARMERS MUTUAL TELEPHONE COMPANY OF STANTON, IOWA",2019,,559,5276748
IA,CAF-BLS,"FARMERS MUTUAL TELEPHONE COMPANY OF STANTON, IOWA",2020,,568,8124016
IA,CAF-BLS,FARMERS MUTUAL TELEPHONE COMPANY-NORA SPRINGS,2016,,2,0
IA,CAF-BLS,FARMERS MUTUAL TELEPHONE COMPANY-NORA SPRINGS,2017,,3,2412480
