State,Fund,Company Name,Deployment Year,Locations Obligation through Deployment Year,Locations Deployed through Deployment Year,Total Support Disbursed through Deployment Year
IA,CAF-BLS,"SPRINGVILLE COOPERATIVE TELEPHONE ASSOCIATION, INC.",2017,,10,170886
IA,CAF-BLS,"SPRINGVILLE COOPERATIVE TELEPHONE ASSOCIATION, INC.",2018,,15,387486
IA,CAF-BLS,"SPRINGVILLE COOPERATIVE TELEPHONE ASSOCIATION, INC.",2019,,21,724164
IA,CAF-BLS,"SPRINGVILLE COOPERATIVE TELEPHONE ASSOCIATION, INC.",2020,,29,1137816
IA,CAF-BLS,STRATFORD MUTUAL TELEPHONE COMPANY,2019,,1,392892
IA,CAF-BLS,STRATFORD MUTUAL TELEPHONE COMPANY,2020,,4,813552
IA,CAF-BLS,UNITED FARMERS TELEPHONE COMPANY,2016,,486,0
IA,CAF-BLS,UNITED FARMERS TELEPHONE COMPANY,2017,,486,259740
IA,CAF-BLS,UNITED FARMERS TELEPHONE COMPANY,2018,,486,598734
IA,CAF-BLS,UNITED FARMERS TELEPHONE COMPANY,2019,,487,1067178
IA,CAF-BLS,UNITED FARMERS TELEPHONE COMPANY,2020,,487,1591764
IA,CAF-BLS,WELLMAN COOPERATIVE TELEPHONE ASSOCIATION,2018,,8,327714
IA,CAF-BLS,WELLMAN COOPERATIVE TELEPHONE ASSOCIATION,2019,,15,737334
IA,CAF-BLS,WELLMAN COOPERATIVE TELEPHONE ASSOCIATION,2020,,26,1135896
IA,CAF-BLS,WEST LIBERTY TELEPHONE COMPANY,2016,,54,0
IA,CAF-BLS,WEST LIBERTY TELEPHONE COMPANY,2017,,153,662406
IA,CAF-BLS,WEST LIBERTY TELEPHONE COMPANY,2018,,290,1489062
IA,CAF-BLS,WEST LIBERTY TELEPHONE COMPANY,2019,,300,2478228
IA,CAF-BLS,WEST LIBERTY TELEPHONE COMPANY,2020,,694,3359522
IA,CAF-BLS,"WTC COMMUNICATIONS, INC.",2018,,2,354696
IA,CAF-BLS,"WTC COMMUNICATIONS, INC.",2019,,2,840636
IA,CAF-BLS,"WTC COMMUNICATIONS, INC.",2020,,30,1272270
IA,RBE,"ALLAMAKEE-CLAYTON ELECTRIC COOPERATIVE, INC",2015,,41,72679.56
IA,RBE,"ALLAMAKEE-CLAYTON ELECTRIC COOPERATIVE, INC",2016,,217,218038.68
IA,RBE,"ALLAMAKEE-CLAYTON ELECTRIC COOPERATIVE, INC",2017,,461,363397.8
IA,RBE,"ALLAMAKEE-CLAYTON ELECTRIC COOPERATIVE, INC",2018,435,487,508756.92
IA,RBE,"ALLAMAKEE-CLAYTON ELECTRIC COOPERATIVE, INC",2019,435,505,501914.88
